Estimado/a,pepito
Total de ingresos:,27400.43
Total de deducciones:,963.53
-------------------------------------------------
Sus ingresos netos son:,26436.9
*
Porcentaje que usted pagara de impuesto:,0.15
-------------------------------------------------
Impuesto de Fraccion Excedente a pagar:,3965.53
Impuesto de Fraccion Basica a pagar:,1356

Total de Impuesto a pagar:,5321.53
-------------------------------------------------
Informacion adicional,
Aporte al IESS:;3543.03
Credito tributario o devolucion (por dividendos Corporativos):,0$
Devolucion por Excedente de impuestos: (Ingresos netos negativos), $0
-------------------------------------------------
