Estimado/a,So
Total de ingresos:,23570.35
Total de deducciones:,193.44
-------------------------------------------------
Sus ingresos netos son:,23376.91
*
Porcentaje que usted pagara de impuesto:,0.12
-------------------------------------------------
Impuesto de Fraccion Excedente a pagar:,2805.23
Impuesto de Fraccion Basica a pagar:,606

Total de Impuesto a pagar:,3411.23
-------------------------------------------------
Informacion adicional,
Aporte al IESS:;3047.77
Credito tributario o devolucion (por dividendos Corporativos):,18$
Devolucion por Excedente de impuestos: (Ingresos netos negativos), $0
-------------------------------------------------
